PS C:\Projects\DE2026_DataOPS_HW\HW23> docker compose logs airflow-webserver
airflow_webserver  | 
airflow_webserver  | [2026-03-11T20:09:06.288+0000] {override.py:1962} INFO - Added Permission can read on SLA Misses to role User
airflow_webserver  | [2026-03-11T20:09:06.292+0000] {override.py:1962} INFO - Added Permission can read on Task Instances to role User
airflow_webserver  | [2026-03-11T20:09:06.298+0000] {override.py:1962} INFO - Added Permission can read on Task Logs to role User
airflow_webserver  | [2026-03-11T20:09:06.302+0000] {override.py:1962} INFO - Added Permission can read on XComs to role User
airflow_webserver  | [2026-03-11T20:09:06.308+0000] {override.py:1962} INFO - Added Permission can read on Website to role User
airflow_webserver  | [2026-03-11T20:09:06.311+0000] {override.py:1962} INFO - Added Permission menu access on Browse to role User
airflow_webserver  | [2026-03-11T20:09:06.315+0000] {override.py:1962} INFO - Added Permission menu access on DAGs to role User
airflow_webserver  | [2026-03-11T20:09:06.319+0000] {override.py:1962} INFO - Added Permission menu access on DAG Dependencies to role User       
airflow_webserver  | [2026-03-11T20:09:06.321+0000] {override.py:1962} INFO - Added Permission menu access on DAG Runs to role User
airflow_webserver  | [2026-03-11T20:09:06.325+0000] {override.py:1962} INFO - Added Permission menu access on Datasets to role User
airflow_webserver  | [2026-03-11T20:09:06.328+0000] {override.py:1962} INFO - Added Permission menu access on Cluster Activity to role User       
airflow_webserver  | [2026-03-11T20:09:06.332+0000] {override.py:1962} INFO - Added Permission menu access on Documentation to role User
airflow_webserver  | [2026-03-11T20:09:06.337+0000] {override.py:1962} INFO - Added Permission menu access on Docs to role User
airflow_webserver  | [2026-03-11T20:09:06.340+0000] {override.py:1962} INFO - Added Permission menu access on Jobs to role User
airflow_webserver  | [2026-03-11T20:09:06.343+0000] {override.py:1962} INFO - Added Permission menu access on SLA Misses to role User
airflow_webserver  | [2026-03-11T20:09:06.347+0000] {override.py:1962} INFO - Added Permission menu access on Task Instances to role User
